                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.22437,                0.16846,                0.28951,                0.81389,                0.98297,                      1,                  0.995,                  0.995,                0.98297,                      1,                  0.995,                  0.995,                0.26292,                0.39154,                0.26938,                 0.8447,              0.0003962,              0.0003962,              0.0003962
                     83,                0.24127,                0.19116,                0.30287,                0.81772,                 0.9827,                      1,                  0.995,                  0.995,                 0.9827,                      1,                  0.995,                  0.995,                0.23718,                 0.3858,                0.28721,                0.83387,              0.0003764,              0.0003764,              0.0003764
                     84,                0.23678,                0.18318,                0.28651,                0.80701,                0.98235,                      1,                  0.995,                  0.995,                0.98235,                      1,                  0.995,                  0.995,                0.27249,                0.38937,                0.30496,                0.83678,              0.0003566,              0.0003566,              0.0003566
                     85,                0.22277,                0.18575,                0.27937,                0.81336,                0.98252,                      1,                  0.995,                0.94515,                0.98252,                      1,                  0.995,                  0.995,                0.30042,                0.38648,                0.31242,                0.84923,              0.0003368,              0.0003368,              0.0003368
                     86,                0.24087,                0.17903,                0.29704,                0.81201,                0.98246,                      1,                  0.995,                0.94515,                0.98246,                      1,                  0.995,                  0.995,                0.29321,                0.39414,                0.32331,                0.84989,               0.000317,               0.000317,               0.000317
                     87,                0.21288,                0.17742,                0.27912,                0.79761,                0.98251,                      1,                  0.995,                0.94515,                0.98251,                      1,                  0.995,                  0.995,                0.27423,                0.41351,                0.31233,                0.84675,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.2234,                0.19052,                0.28551,                 0.8323,                0.98227,                      1,                  0.995,                0.94516,                0.98227,                      1,                  0.995,                  0.995,                0.26534,                0.46695,                 0.3009,                0.83101,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.2166,                0.20221,                0.27128,                0.78084,                 0.9824,                      1,                  0.995,                0.92041,                 0.9824,                      1,                  0.995,                  0.995,                0.27858,                0.47655,                0.27697,                0.83417,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.2136,                0.19482,                0.28268,                0.80718,                0.98244,                      1,                  0.995,                 0.9204,                0.98244,                      1,                  0.995,                0.92794,                0.31819,                0.47517,                0.26429,                 0.8381,              0.0002378,              0.0002378,              0.0002378
                     91,                0.18348,                0.17144,                0.29906,                0.76605,                0.98261,                      1,                  0.995,                 0.9204,                0.98261,                      1,                  0.995,                0.92858,                0.32346,                 0.4727,                0.28814,                0.83781,               0.000218,               0.000218,               0.000218
                     92,                 0.1776,                0.16378,                 0.2871,                0.77408,                0.98242,                      1,                  0.995,                0.94515,                0.98242,                      1,                  0.995,                  0.995,                0.32996,                 0.4649,                0.27816,                0.83698,              0.0001982,              0.0001982,              0.0001982
                     93,                0.17044,                0.16108,                 0.2694,                0.78902,                 0.9824,                      1,                  0.995,                0.94515,                 0.9824,                      1,                  0.995,                  0.995,                0.33216,                0.46439,                0.29398,                0.84458,              0.0001784,              0.0001784,              0.0001784
                     94,                0.18187,                0.16294,                0.28084,                0.78253,                0.98264,                      1,                  0.995,                  0.995,                0.98264,                      1,                  0.995,                  0.995,                0.30961,                0.45791,                 0.3296,                 0.8366,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.1868,                0.15953,                 0.2763,                0.75736,                0.98246,                      1,                  0.995,                  0.995,                0.98246,                      1,                  0.995,                  0.995,                0.29893,                0.45052,                0.31475,                0.83338,              0.0001388,              0.0001388,              0.0001388
                     96,                0.16937,                0.16825,                0.27655,                0.76176,                0.98277,                      1,                  0.995,                  0.995,                0.98277,                      1,                  0.995,                  0.995,                0.31216,                  0.437,                0.30441,                0.83274,               0.000119,               0.000119,               0.000119
                     97,                0.17316,                0.16686,                0.27273,                0.77138,                0.98262,                      1,                  0.995,                0.94514,                0.98262,                      1,                  0.995,                  0.995,                0.32401,                0.43022,                0.30485,                0.83381,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.17254,                0.17276,                0.26823,                0.76301,                0.98271,                      1,                  0.995,                0.94514,                0.98271,                      1,                  0.995,                  0.995,                0.33956,                0.42387,                0.29134,                0.83577,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  0.164,                0.17396,                0.25271,                0.75409,                0.98272,                      1,                  0.995,                0.94514,                0.98272,                      1,                  0.995,                  0.995,                0.34118,                0.42248,                0.29119,                0.83601,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.17278,                0.15797,                0.25616,                0.78142,                0.98265,                      1,                  0.995,                0.94514,                0.98265,                      1,                  0.995,                  0.995,                0.35403,                0.42552,                0.29553,                0.83719,               3.98e-05,               3.98e-05,               3.98e-05
